Package,main,main
File,main.mainfile,mainfile.go
Class,main.mainfile.Shape,Shape
Class,main.mainfile.Graph,Graph
Function,main.mainfile.printRadiumOfCircle,printRadiumOfCircle
Function,main.mainfile.generateASquare,generateASquare
Function,main.mainfile.main,main
Package,mymath,mymath
File,mymath.const,const.go
File,mymath.math,math.go
Function,mymath.math.Multiply,Multiply
Package,mytype,mytype
File,mytype.mystruct,mystruct.go
Class,mytype.mystruct.Circle,Circle
Class,mytype.mystruct.Square,Square
Class,mytype.mystruct.Vertex2,Vertex2
Function,mytype.mystruct.Circle.Length,Length
Function,mytype.mystruct.Square.Length,Length
